
2024/06/08 (05:16:02) | ===> btop++ v.1.3.2
2024/06/08 (05:16:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/08 (05:16:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/11 (02:43:14) | ===> btop++ v.1.3.2
2024/06/11 (02:43:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/11 (02:43:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/13 (02:58:10) | ===> btop++ v.1.3.2
2024/06/13 (02:58:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/13 (02:58:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
